Name,Business Name,Start,End
,irobot,11:30,20:00
,m r steel furniture,10:00,10:00
,arihant mobile,10:00,22:00
,sony sports,11:00,21:00
,arihant mobile,10:00,10:10
,classic luggage,10:00,10:10
,beauty & more,11:00,20:30
,pari decor,11:00,20:30
,royal ladders,9:30,20:00
,wms the mobile store,10:30,10:30
,the square,10:30,19:30
,apparel nation,10:00,22:00
,riddhi art jewellery,10:00,22:00
,polo footwear & accessories,10:00,22:00
,vardhaman mobiles,10:00,22:00
Navi Mumbai,godrej & boyce mfg. co. ltd.,11:00,19:00
Thane,godrej & boyce mfg. co. ltd.,11:30,20:00
 ,gayatri ply n laminates,10:00,8:30
 ,shreeji hardware - ii,9:00,9:00
 ,shreeji hardware - i,10:00,8:00
 ,kiara's pet stores ,10:00,8:00
 ,dynamic led,10:00,7:00
 ,supercera distinctive tile studio,10:00,8:30
Malad,jagdamba furnishings,9:00,10:00
 ,elegance furniture and interiors,10:00,9:00
 ,kalapurnom the interior mall,10:00,9:00
 ,harmony painting frames,10:00,9:00
 ,ziyan furniture,10:00,9:00
 ,one step furniture,11:00,9:00
 ,glorious gifts & trophies,10:00,9:00
 ,the glass shoppe,10:00,10:00
 ,royal art pet shop,10:00,7:00
 ,leather king,11:00,9:00
 ,shiv shakti gems & rudraksh,11:00,9:00
 ,leather baggit,10:00,8:30
 ,gokul ceramics,9:00,9:00
 ,mahendra tools and tackles,10:00,8:00
 ,gulab,9:30,10:00
 ,v.i.p apna collection,10:00,8:30
Malad,novelty furnishings ,10:30,9:00
Bandra,novelty furnishings ,10:30,9:00
Vashi,novelty furnishings ,10:30,9:00
 ,wooden tailor,10:30,9:00
 ,gleaming light,10:30,9:00
 ,laxmi ceramic,10:00,7:00
 ,rahul ceramics,10:00,8:00
 ,kohetoor stones & tiles,9:00,8:30
 ,rachana shilp,10:00,7:00
 ,somi sports and fitness,10:30,9:00
 ,only veneer,9:30,8:30
 ,hayan plywood,10:00,7:30
 ,dream decor mattress and furnishings,10:00,9:00
 ,the kitchen4u,10:30,8:00
 ,urban mattresses store,11:00,8:00
 ,als tatoo n body piercing studio,10:30,8:30
 ,relation footwear,8:00,10:00
,inmod shoes,10:00,10:00
,new tip top,10:00,10:00
