Name,Category,Tags,New
,Footwear,"High Heels,Shoes,Sandal,Sabaton,Men's Footwear,Kids Footwear,Formal Shoes,Casual Footwear,Boots,Slippers,Ethnic Footwear,Wedges,Monks,Chelsea Boot,Thigh High Boot,Snow Boot,Rain Boot,Platform Heel,Loafer Shoe,Sport Shoe,Polo Foowear & Accessories",Fashion
Royal Ladders,Home Improvement,"Ladder,Fitting,Home Decor,Floor Art,Home Improvement,Royal Ladders",Kitchen
BF Foam House & Furnishings,Furnishing,"Carpet,Rug,Blind,Bedsheet,Curtain,Sofa Fabric,Pillow,Blankets,Grass Mat,Carpet Runner,Mattress,Decor,Pure,GMF,Hush,Recron,Sleepwell,BF Foam House & Furnishings",Furnishing
Beauty & More,Beauty,"Cosmetic,Skin Care,Make Up,Nail Art,Hair Care,Body Care,Fragrance,Body Soap,Hair Styling Equipment,Hair Accessories,Men's Grooming,Kajal,Eyeliner,Lipstick,Compact ,Makeup,Brush,Blush,Highlighter,Foundation,Eye Palette,Lip Liner,Eyeshadow,Bronzer,Lip Balm,Mascara,Cleanser,Scrub,Moisturizer,Anti Aging Cream,Night Cream,Sun Scream,Hairspray,Beard Oil,Trimer,Shaving Cream,Hair Dryer,Straightener,Curler,Nail Paint,Beauty & More",Beauty
Rohit Hardware,Home Improvement,"Hardware,Furtniture Fitting,Bathroom Fittinfg,Home Decor,Zaha,Dortel,Rohit Hardware",Bath & Fittings
Sai Glass & Aluminium Center,Home Improvement,"Glass,Mirror,Name Plate,Decorative Glass,Sai Glass & Aluminium Center,St Gobain, Modi",Glass
Apparel Nation,Apparel,"Women's Wear,Men's Wear,Kids Wear,Clothing,Branded,Party Wear,Casual Wear,Leather,Jumpsuit,Jeans,Ethnic set,Dress ,Gowns,Sweatshirt,T Shirt,Shirt,Sweater,Jacket,Top,Bottoms,Sleepwear,Jegging,Trousers,Innerwear,,Capris,Shorts,Skirt,Shrug,Coat,Blazer,Waistcoat,Skinny Jeans,Distressed Jeans,Highwaist Jeans,Dungaree,Cotton,Silk,Short Dress,Long Dress,Apprael Nation",Fashion
Galaxy Laminates,Home Improvement,"Plywood,Laminate,Wallpapers,Wooden Flooring,Floor Art,Home Decor,Greenply Merino,Century,Sundek,Royal Touch,Galaxy Laminates",Laminates & Wallpaper
,Electronic,"Mobile,Phone,Electronic Accessories,IPhone,Vivo,Samsung,Oppo,MI,Realme,Arihant Mobile",Electornics
Rooptex Opticians,Accessories,"Optician,EyeWear,Eye Protection,Glass,Sunglass,Rooptex Opticians,Reban",Accessories
