name,end,phone
M R Steel Furniture,22:00,9769068383
Arihant Mobile,22:10,9930110109
Classic Luggage,22:10,9819789052
WMS The Mobile Store,22:30,9984466446
Gayatri Ply n Laminates,20:30,9867058810
Shreeji Hardware,21:00,91672422960
Shreeji Hardware,20:00,9167242296
Kiara's Pet Stores ,20:00,9619014001
Dynamic Led,19:00,9819184585
Supercera Distinctive Tile Studio,20:30,9819944075
Jagdamba Furnishings,22:00,8657460361
Elegance Furniture and Interiors ,21:00,9220802802
Kalapurnom the Interior Mall ,21:00,9167912787
Harmony Painting Frames,21:00,9869650832
Ziyan Furniture  ,21:00,9769397718
One Step Furniture,21:00,7039473368
Glorious Gifts & Trophies,21:00,9222312121
The Glass Shoppe,22:00,9029180008
Royal Art Pet Shop,19:00,9892016423
Leather King,21:00,908210477
Shiv Shakti Gems & Rudraksh,21:00,9867814483
Leather Baggit,20:30,9082180477
Gokul Ceramics,21:00,9869745456
Mahendra Tools and Tackles,20:00,9167762261
Gulab,22:00,9819842434
V.I.P Apna Collection,20:30,7042291360
Novelty Furnishings ,21:00,9820203867
Novelty Furnishings ,21:00,9833800000
Novelty Furnishings ,21:00,9867476850
Wooden Tailor,21:00,9820806576
Gleaming Light,21:00,9920274029
Laxmi Ceramic,19:00,9892245046
Rahul Ceramics,20:00,8767322626
Kohetoor Stones & Tiles,20:30,9619900779
Rachana Shilp,19:00,9867357234
Somi Sports and Fitness,21:00,7977612567
Only Veneer,20:30,9869301727
HAYAN Plywood,19:30,9833179021
Dream Decor Mattress and Furnishings,21:00,9588678910
The Kitchen4u,20:00,9820639698
Urban Mattresses Store,20:00,9819590950
Als Tatoo n Body Piercing Studio,20:30,9967770644
Relation Footwear,22:00,9930881828
Inmod Shoes,22:00,8976663181
New Tip Top,22:00,8839689575
Kitty Kids Store,22:00,7506262721
New Milan Footwear,22:00,9619412607
Zoya's Designer,22:00,7977845374
U & I - NX Men's Wear,22:00,9819487961
Galleria Sports Center,21:00,9773748381
A - 1 Watch Sales & Services Center,22:00,9820478028
Om Sports,21:00,9869423312
Vision Palace Opticians,21:00,8689839979
Aashiqui Shoes,21:00,8369406504
Kalanjali Sangmarmar Arts,21:00,9819055981
Bombay Carpet ,21:00,9833884140
Stay Well All Interior Solution,22:00,8433525443
Houzz Beautiful,21:00,7208673670
Furniture Studio,22:00,7021977279
Wood Castle Interior Designer Studio,22:00,8779826358
Metro Brass ,21:00,9820476507
Celebration The Furnishing Gallery ,21:00,9594686916
Kitchen Boutique ,20:00,9323218465
Gravity ,21:00,9864828191
Akashi Designer Studio ,21:00,9322738077
Swagat Ply,20:30,9819300046
Arihant Glass,21:00,9930024189
Arihant Plywood,20:30,9867422720
Stylocus,19:30,9820106335
Paramount Sports and Nutrition,21:00,9821260372
Esbeda Bags,21:00,8767760234
Esbeda Bags,21:00,9892241774
Elegant Hardware And Interior ,19:30,9372853803
Beauty Furnishing Fabrics,21:00,7021577122
Aavkar,20:30,9819926096
Monark Plywood,20:30,7715927002
Floor Art,21:00,9820470639
Fine Furniture,22:00,9773967561
Little Long,21:00,9819721847
Sai Glass & Aluminium Center,20:30,9892352768
Swastik Plywood,21:00,9819731178
Central Studio,20:30,9619450052
Gear Up Sports,21:00,9819415858
Meraki Art For Every Soul ,21:30,9930591630
Meraki Art For Every Soul ,21:30,93214361491
Anand Home Store,21:30,93214361492
Anand Steel,21:30,93214361493
Artemis,20:00,9757395832
JLS Lighting,20:00,9920254492
Hardware Gallery,22:00,9619481333
Shivam Furniture,22:00,9833310525
Wet Concepts,22:00,9820939494
Jhaveri Sports & Gifts,22:00,9820674774
Navsupe Trophy,22:00,9920631875
New Oliver Furniture,21:00,9967257933
S9 Helmets And Accessories,21:00,9869975711
B.M.Shah & Co.,19:00,9820780034
Gayatri Ply n Laminates,20:30,98670588101
Rooptex Opticians,21:00,9820556060
Gaurav Ceramic Studio,19:00,9821241817
Ultimate Sports,21:00,7738384483
Better Home,21:00,7666949489
Orchid Trade Link,20:00,9987674816
Dolphins,21:00,9820528374
Sundaram Marketing,21:00,9867498635
Decent Decor,19:30,9004911752
Priyank Kumars,21:00,9820785289
Luggage World,21:00,9619705562
Samrat,21:00,9870683099
